lact_num;avg_milk;avg_thi3
2;24.99;57.74
2;24.99;54.42
7;24.99;50.2
6;24.98;55.96
7;24.98;53.79
2;24.96;50.71
6;24.93;66.52
4;24.93;60.6
5;24.93;58.29
2;24.93;58.2
3;24.93;55.56
2;24.92;58.21
3;24.92;57.57
3;24.92;50.3
2;24.9;66.55
6;24.9;65.51
2;24.9;64.04
5;24.9;62.37
5;24.89;59.62
6;24.89;53.28
5;24.88;56.99
2;24.88;56.57
5;24.87;65.89
5;24.87;62.31
3;24.86;55.92
2;24.86;54.92
2;24.86;54.92
2;24.85;54.12
4;24.85;51.31
8;24.84;51.44
2;24.83;69.36
3;24.83;61.32
3;24.83;60.22
7;24.83;58.37
4;24.82;57.03
7;24.82;56.3
2;24.82;55.53
4;24.82;52.76
4;24.81;58.6
4;24.81;57.58
4;24.8;64.6
7;24.8;64.28
2;24.8;56.54
2;24.8;55.38
6;24.8;52.44
2;24.8;52.33
2;24.8;51.01
2;24.79;55.04
7;24.78;56.19
5;24.78;54.2
3;24.78;52.55
5;24.77;66.15
3;24.77;58.71
2;24.77;53.58
5;24.76;54.39
5;24.75;56.04
4;24.74;58.37
2;24.74;57.14
8;24.73;57.56
5;24.73;54.76
2;24.7;62.1
2;24.7;62.1
1;24.7;59.39
1;24.7;59.39
3;24.7;55.94
2;24.69;52.82
2;24.67;65.43
3;24.67;52.48
9;24.66;58.65
6;24.66;51.71
7;24.64;55.63
6;24.63;64.04
6;24.63;64.04
8;24.63;56.97
4;24.63;52.98
2;24.61;54.6
3;24.6;67.23
5;24.6;62.85
3;24.6;57.49
2;24.6;53.22
2;24.59;57.14
5;24.59;53.42
6;24.58;53
5;24.57;55.37
6;24.57;54.17
8;24.57;50.43
6;24.56;59.38
9;24.56;58.32
7;24.56;52.91
5;24.55;52.81
6;24.55;52.01
7;24.54;54.15
3;24.53;63.8
2;24.52;56.45
3;24.51;57.76
9;24.51;53.66
5;24.51;53.54
7;24.5;64.21
3;24.5;60.53
4;24.5;55.11
2;24.5;50.58
2;24.49;52.78
8;24.48;58.62
3;24.48;58.12
3;24.48;55.51
6;24.47;66.13
3;24.46;52.15
6;24.43;66.41
3;24.43;63.87
3;24.43;54.57
1;24.41;58.62
4;24.41;53.98
3;24.41;52.42
5;24.4;64.39
7;24.4;54.86
6;24.39;61.48
4;24.39;53.84
2;24.38;55.74
6;24.37;51
6;24.36;61.14
4;24.35;53.1
4;24.35;53.1
4;24.35;51.8
6;24.34;59.48
2;24.34;57.13
2;24.34;54.83
1;24.33;54.54
5;24.3;62.77
6;24.3;59.32
4;24.3;59.27
2;24.29;54.96
4;24.28;55.32
5;24.27;64.73
3;24.27;59.01
3;24.27;57.26
8;24.27;57.18
2;24.27;56.17
2;24.26;56.35
5;24.26;53.07
7;24.23;65.89
7;24.23;65.89
5;24.22;51.71
5;24.22;50.85
5;24.21;50.13
5;24.2;66.55
3;24.2;62.56
2;24.2;57.79
1;24.2;56.31
2;24.2;51.32
2;24.19;58.9
2;24.19;58.9
4;24.17;65.09
4;24.17;61.78
6;24.17;61.02
6;24.17;61.02
2;24.17;56.78
2;24.17;53.33
3;24.15;53.03
2;24.15;51.6
2;24.15;51.6
4;24.1;64.04
5;24.1;60.38
5;24.1;60.38
2;24.1;56.42
2;24.1;56.42
2;24.1;56.36
4;24.09;54.12
4;24.09;53.4
4;24.09;50.12
10;24.08;52.71
3;24.07;66.85
4;24.07;64.45
2;24.07;56.19
6;24.06;52.71
2;24.05;55.43
6;24.05;52.02
3;24.05;51.86
4;24.04;56.88
3;24.03;55.08
4;24.03;52.03
1;24.02;52.08
4;24.01;55.65
3;24.01;55.06
6;24;59.72
3;24;52.83
3;23.98;58.93
5;23.98;57.97
1;23.98;52.44
5;23.97;64.78
2;23.97;61.08
3;23.97;59.76
6;23.97;55.3
2;23.96;58.15
2;23.96;55.36
1;23.96;51.55
2;23.95;52.24
3;23.94;51.67
5;23.93;66.15
3;23.93;59.96
2;23.93;55.64
2;23.92;57.84
6;23.91;52.58
1;23.9;66.62
1;23.9;62.68
4;23.9;56.92
4;23.9;55.61
2;23.89;56.9
2;23.88;59.03
2;23.88;57.26
2;23.88;53.85
2;23.88;53.3
4;23.88;51.5
2;23.87;64.87
1;23.87;61.45
5;23.87;60.79
4;23.87;59.13
3;23.87;58.61
4;23.87;54.51
3;23.87;54.32
5;23.87;50.81
3;23.86;57.57
6;23.85;54.04
2;23.85;50.01
2;23.84;54.76
6;23.84;52.12
6;23.83;61.44
4;23.82;57.41
5;23.82;55.53
3;23.81;52.9
2;23.81;51.48
2;23.81;51.48
8;23.8;59.12
5;23.8;53.6
2;23.79;55.85
1;23.79;54.57
3;23.79;53.1
5;23.79;52.7
5;23.79;50.9
3;23.78;61.2
2;23.78;58.13
4;23.78;54.42
3;23.77;63.28
7;23.77;63.09
1;23.77;56.24
1;23.76;59.18
2;23.76;52.3
5;23.76;50.41
3;23.74;53.17
4;23.73;69.5
8;23.73;60.22
5;23.73;55.65
3;23.72;55.82
2;23.71;56.85
9;23.71;55.39
3;23.71;55.02
3;23.71;52.33
6;23.7;69.85
6;23.7;65.71
5;23.7;57.83
8;23.7;57.34
3;23.7;53.74
2;23.7;53.17
3;23.69;55.85
7;23.69;55.02
1;23.68;57.3
6;23.68;53.97
5;23.67;66.51
2;23.67;65.89
6;23.67;60.69
6;23.67;56.27
2;23.67;56.01
9;23.67;55.27
5;23.66;57.35
2;23.66;54.65
2;23.66;54.65
4;23.65;55.49
6;23.65;54.95
8;23.65;52.96
4;23.65;50.76
2;23.64;55.71
2;23.64;54.28
2;23.63;56.72
2;23.63;54.83
2;23.63;53.93
2;23.63;52.96
3;23.63;52.34
3;23.63;52.34
2;23.62;55.58
4;23.62;53
1;23.62;52.93
2;23.61;59.79
2;23.61;56.44
2;23.61;52.97
2;23.61;52.44
2;23.61;52.09
3;23.61;50.84
5;23.6;64.25
2;23.6;63.91
2;23.6;63.91
6;23.6;63.22
4;23.6;55.88
6;23.6;54.63
6;23.6;54.63
2;23.59;51.89
2;23.58;58.01
2;23.58;51.43
5;23.57;69.58
2;23.57;62.04
2;23.57;58.46
7;23.57;58.41
2;23.57;58.12
2;23.57;56.75
2;23.56;55.35
4;23.56;50.56
2;23.55;56.02
6;23.55;50.29
2;23.54;56.08
8;23.54;55.41
2;23.53;53.5
2;23.53;52.14
3;23.52;55.46
2;23.52;50.19
3;23.5;64.72
2;23.5;52.6
2;23.49;55.39
5;23.48;54.43
8;23.47;64.79
2;23.47;63.8
2;23.47;63.58
7;23.47;62.37
